CPUID:,0xA50F00
Processor:,AMD Ryzen 7 5800H
Platform:,Socket FP6 (BGA 1140)
Revision:,CZN-A0
Lithography:,7 nm

* Values should be divided by 1000
Session start:,00:04:36 - December 17 - 2025

Time,Cur. CPU #0 Tdie #0,Min. CPU #0 Tdie #0,Max. CPU #0 Tdie #0,Avg. CPU #0 Tdie #0,Cur. CPU #0 Core #0,Min. CPU #0 Core #0,Max. CPU #0 Core #0,Avg. CPU #0 Core #0,Cur. CPU #0 Core #1,Min. CPU #0 Core #1,Max. CPU #0 Core #1,Avg. CPU #0 Core #1,Cur. CPU #0 Core #2,Min. CPU #0 Core #2,Max. CPU #0 Core #2,Avg. CPU #0 Core #2,Cur. CPU #0 Core #3,Min. CPU #0 Core #3,Max. CPU #0 Core #3,Avg. CPU #0 Core #3,Cur. CPU #0 Core #4,Min. CPU #0 Core #4,Max. CPU #0 Core #4,Avg. CPU #0 Core #4,Cur. CPU #0 Core #5,Min. CPU #0 Core #5,Max. CPU #0 Core #5,Avg. CPU #0 Core #5,Cur. CPU #0 Core #6,Min. CPU #0 Core #6,Max. CPU #0 Core #6,Avg. CPU #0 Core #6,Cur. CPU #0 Core #7,Min. CPU #0 Core #7,Max. CPU #0 Core #7,Avg. CPU #0 Core #7,CPU #0 Core #0 Load,CPU #0 Core #0 Frequency,CPU #0 Core #1 Load,CPU #0 Core #1 Frequency,CPU #0 Core #2 Load,CPU #0 Core #2 Frequency,CPU #0 Core #3 Load,CPU #0 Core #3 Frequency,CPU #0 Core #4 Load,CPU #0 Core #4 Frequency,CPU #0 Core #5 Load,CPU #0 Core #5 Frequency,CPU #0 Core #6 Load,CPU #0 Core #6 Frequency,CPU #0 Core #7 Load,CPU #0 Core #7 Frequency,CPU #0 Package,CPU #0 Core #0,CPU #0 Core #1,CPU #0 Core #2,CPU #0 Core #3,CPU #0 Core #4,CPU #0 Core #5,CPU #0 Core #6,CPU #0 Core #7,
00:04:46 12/17/25,48250,47250,49375,48295,46745,45572,48210,46501,47260,45775,49300,47027,46544,45044,48144,46142,46507,45210,48323,46097,45864,44843,47567,45591,45918,45051,47237,45677,45718,44834,46629,45432,45805,45045,46566,45587,4039,1856479,5595,1856479,4817,1547066,927,1547066,0,1547066,0,1547066,0,1480492,463,1480492,1892,404,392,330,169,16,5,4,11,
00:04:56 12/17/25,47750,47250,49375,48243,45915,45138,48210,46427,46494,45393,49300,46936,45575,44786,48144,46061,45357,44966,48323,46027,44979,44641,47567,45530,45121,44919,47237,45629,44941,44694,46629,45387,45111,44975,46566,45549,8985,1397350,8985,1547066,0,1547066,0,1547066,0,1547066,0,1547066,0,1547066,1230,1547066,2227,433,442,188,13,4,5,5,25,
00:05:06 12/17/25,47625,47250,49375,48182,45279,45138,48210,46384,45622,45393,49300,46889,44758,44758,48144,46016,44973,44966,48323,45984,44544,44544,47567,45486,44765,44765,47237,45588,44625,44625,46629,45346,44842,44842,46566,45509,13966,1856479,7746,1856479,1510,1547066,2290,1547066,2290,1480492,1510,1480492,731,1480492,731,1480492,2102,432,344,17,4,4,4,4,21,
00:05:16 12/17/25,47125,47125,49375,48088,45716,45038,48210,46303,46336,45119,49300,46803,45276,44487,48144,45926,45371,44654,48323,45907,44811,44325,47567,45411,45013,44573,47237,45522,44746,44408,46629,45282,44942,44593,46566,45447,9182,1856479,5345,1856479,2994,1547066,642,1547066,793,1547066,793,1547066,793,1547066,793,1547066,2891,365,362,176,97,4,4,4,13,
00:05:26 12/17/25,47875,46875,49375,48003,47047,45038,48210,46265,47713,45119,49300,46762,46901,44487,48144,45892,47086,44654,48323,45869,46315,44325,47567,45379,46567,44573,47237,45489,45965,44408,46629,45248,46117,44593,46566,45411,21415,1856479,12009,1856479,11225,1856479,15141,1856479,1045,1856479,4177,1547066,1911,1547066,218,1547066,5458,511,450,454,416,280,321,242,213,
00:05:36 12/17/25,48125,46875,49375,48020,46170,45038,48210,46290,46662,45119,49300,46796,46025,44487,48144,45930,46019,44654,48323,45912,45454,44325,47567,45408,45528,44573,47237,45506,45245,44408,46629,45261,45409,44593,46566,45417,19225,1547066,6725,1856479,10632,1547066,5943,1547066,236,1547066,473,1547066,473,1547066,119,1547066,3560,374,338,331,200,93,4,4,14,
00:05:46 12/17/25,54875,46875,54875,48229,52690,45038,52690,46509,55054,45119,55054,47090,52471,44487,52471,46168,53784,44654,53784,46195,51959,44325,51959,45637,52984,44573,52984,45765,51115,44408,51115,45462,52138,44593,52138,45647,100000,1856479,100000,1856479,100000,1856479,100000,1856479,100000,1856479,100000,1856479,100000,1856479,100000,1856479,8601,1095,1069,1040,1061,1060,1049,1060,1068,
00:05:56 12/17/25,56250,46875,56250,48802,53852,45038,53990,47030,55930,45119,56156,47741,54019,44487,54108,46729,55179,44654,55179,46841,53888,44325,53888,46207,54653,44573,54653,46393,53084,44408,53084,45983,53981,44593,53981,46227,100000,1547066,100000,1856479,100000,1856479,100000,1547066,100000,1856479,100000,1856479,100000,1856479,100000,1547066,12758,1015,1028,979,960,1021,952,1000,976,
00:06:06 12/17/25,57000,46875,57125,49375,54125,45038,54615,47550,56407,45119,56909,48367,54381,44487,54731,47281,55406,44654,55766,47456,53865,44325,54459,46770,54832,44573,55187,46998,53020,44408,53649,46502,54109,44593,54580,46797,100000,1856479,100000,1856479,100000,1856479,100000,1547066,100000,1856479,100000,1547066,100000,1547066,100000,1547066,11596,1027,1073,1007,980,1011,972,991,979,
00:06:16 12/17/25,56375,46875,57125,49860,53018,45038,54615,47949,55518,45119,56909,48872,52997,44487,54731,47705,54300,44654,55766,47945,52382,44325,54459,47192,53419,44573,55187,47471,51773,44408,53649,46892,52793,44593,54580,47235,100000,1856479,100000,1856479,100000,1547066,100000,1547066,100000,1856479,100000,1547066,100000,1856479,100000,1856479,15904,1066,1009,968,956,904,884,993,956,
00:06:26 12/17/25,55250,46875,57125,50222,52022,45038,54615,48214,54544,45119,56909,49237,51957,44487,54731,47989,53255,44654,55766,48293,51532,44325,54459,47481,52484,44573,55187,47805,50718,44408,53649,47148,51691,44593,54580,47535,100000,1856479,100000,1856479,100000,1856479,100000,1547066,100000,1856479,100000,1547066,100000,1547066,100000,1547066,12867,1045,1046,950,943,991,939,1001,934,
00:06:36 12/17/25,54500,46875,57125,50490,51366,45038,54615,48408,53947,45119,56909,49524,51253,44487,54731,48196,52529,44654,55766,48557,50788,44325,54459,47687,51856,44573,55187,48052,50014,44408,53649,47328,51124,44593,54580,47753,100000,1856479,100000,1776630,100000,1776630,100000,1776630,100000,1547066,100000,1547066,100000,1547066,100000,1547066,13832,984,934,928,929,965,929,957,942,
00:06:46 12/17/25,54000,46875,57125,50697,50868,45038,54615,48556,53591,45119,56909,49755,50870,44487,54731,48355,52141,44654,55766,48765,50395,44325,54459,47847,51456,44573,55187,48247,49578,44408,53649,47464,50641,44593,54580,47923,100000,1856479,100000,1547066,100000,1547066,100000,1547066,100000,1547066,100000,1547066,100000,1856479,100000,1856479,20299,1031,949,948,939,971,949,967,921,
00:06:56 12/17/25,53375,46875,57125,50854,50407,45038,54615,48658,52995,45119,56909,49928,50387,44487,54731,48466,51567,44654,55766,48922,49697,44325,54459,47958,50923,44573,55187,48392,49007,44408,53649,47554,50069,44593,54580,48047,100000,1856479,100000,1856479,100000,1856479,100000,1856479,100000,1856479,100000,1547066,100000,1547066,100000,1547066,15361,1010,1013,983,929,878,927,964,911,
00:07:06 12/17/25,53125,46875,57125,50973,50083,45038,54615,48734,52625,45119,56909,50068,50141,44487,54731,48552,51431,44654,55766,49048,49676,44325,54459,48045,50716,44573,55187,48510,48746,44408,53649,47618,49866,44593,54580,48144,100000,1547066,100000,1856479,100000,1547066,100000,1547066,100000,1856479,100000,1547066,100000,1547066,100000,1547066,11788,950,996,957,950,976,943,943,917,
00:07:16 12/17/25,53125,46875,57125,51074,50331,45038,54615,48803,52743,45119,56909,50195,50168,44487,54731,48627,51361,44654,55766,49158,49573,44325,54459,48118,50569,44573,55187,48608,48834,44408,53649,47669,49852,44593,54580,48223,100000,1856479,100000,1856479,100000,1856479,100000,1856479,100000,1856479,100000,1856479,100000,1856479,100000,1856479,16211,963,969,957,954,949,939,983,935,
00:07:26 12/17/25,52875,46875,57125,51160,49840,45038,54615,48852,52261,45119,56909,50295,49732,44487,54731,48686,50856,44654,55766,49247,49106,44325,54459,48176,49986,44573,55187,48686,48215,44408,53649,47710,48945,44593,54580,48286,100000,1856479,100000,1856479,100000,1856479,100000,1856479,100000,1856479,100000,1856479,100000,1856479,100000,1856479,13425,998,939,961,926,933,898,876,756,
00:07:36 12/17/25,52500,46875,57125,51239,46546,45038,54615,48877,47934,45119,56909,50365,46397,44487,54731,48719,46301,44654,55766,49312,45221,44325,54459,48201,45440,44573,55187,48726,44887,44408,53649,47718,45226,44593,54580,48310,9087,1856479,9112,1856479,6738,1856479,657,1547066,0,1547066,0,1547066,0,1547066,2089,1547066,3822,500,615,565,204,6,7,6,21,
00:07:46 12/17/25,48000,46875,57125,51179,43070,42899,54615,48671,43681,43385,56909,50125,42684,42516,54731,48505,42721,42721,55766,49081,42144,42144,54459,47989,42498,42498,55187,48508,42067,42067,53649,47521,42497,42497,54580,48107,5228,1676820,6801,1856479,4478,1547066,690,1547066,0,1547066,0,1547066,0,1480492,1464,1480492,1032,438,376,227,4,4,4,4,15,
00:07:56 12/17/25,45625,45625,57125,51000,42067,41404,54615,48403,43149,42015,56909,49827,41612,41122,54731,48227,42050,41442,55766,48793,41406,40920,54459,47721,41793,41317,55187,48235,41403,40930,53649,47272,41752,41369,54580,47851,27527,1856479,22918,1856479,2234,1547066,2183,1547066,2151,1547066,2177,1547066,2177,1547066,1435,1547066,3088,314,385,37,11,11,10,11,27,
00:08:06 12/17/25,44625,44625,57125,50770,42386,41404,54615,48199,43046,42015,56909,49591,41947,41122,54731,48015,42308,41442,55766,48563,41821,40920,54459,47509,42110,41317,55187,48012,41808,40930,53649,47072,42168,41369,54580,47640,7082,1547066,2450,1856479,188,1547066,188,1547066,188,1547066,188,1547066,1731,1547066,959,1547066,1148,432,366,4,4,4,4,4,20,
00:08:16 12/17/25,44375,44375,57125,50559,42800,41404,54615,48016,43057,42015,56909,49378,42328,41122,54731,47823,42491,41442,55766,48360,42111,40920,54459,47327,42353,41317,55187,47821,42110,40930,53649,46904,42374,41369,54580,47463,4820,1856479,5598,1856479,903,1547066,876,1547066,963,1547066,963,1547066,963,1547066,963,1480492,1423,398,305,54,4,4,4,5,20,
00:08:26 12/17/25,44375,44250,57125,50341,42832,41404,54615,47834,43157,42015,56909,49164,42442,41122,54731,47631,42541,41442,55766,48154,42234,40920,54459,47144,42422,41317,55187,47629,42200,40930,53649,46736,42432,41369,54580,47284,3736,1856479,2998,1856479,750,1547066,1500,1547066,1500,1547066,1500,1480492,1500,1480492,2261,1480492,791,465,317,106,4,4,5,4,20,
00:08:36 12/17/25,44250,44125,57125,50132,42522,41404,54615,47659,43433,42015,56909,48955,42203,41122,54731,47452,42491,41442,55766,47960,42066,40920,54459,46973,42286,41317,55187,47448,42093,40930,53649,46579,42335,41369,54580,47115,2652,1856479,2117,1856479,564,1547066,1129,1547066,0,1547066,0,1547066,0,1397350,0,1397350,865,345,404,22,4,7,4,4,17,
00:08:46 12/17/25,44000,44000,57125,49932,42280,41404,54615,47492,42339,42015,56909,48758,41864,41122,54731,47280,42016,41442,55766,47775,41686,40920,54459,46808,41886,41317,55187,47274,41758,40930,53649,46428,41987,41369,54580,46953,12750,1856479,4984,1547066,0,1547066,0,1547066,0,1547066,1102,1547066,1102,1547066,551,1480492,1441,531,251,12,5,4,5,9,26,
00:08:56 12/17/25,44125,44000,57125,49745,42851,41404,54615,47341,42983,42015,56909,48577,42275,41122,54731,47123,42376,41442,55766,47604,42108,40920,54459,46657,42272,41317,55187,47113,42076,40930,53649,46288,42289,41369,54580,46803,6921,1776630,5336,1856479,0,1547066,683,1547066,683,1547066,683,1547066,683,1480492,341,1480492,1051,510,340,35,4,4,4,4,16,
00:09:06 12/17/25,45375,44000,57125,49584,44127,41404,54615,47220,44467,42015,56909,48435,43981,41122,54731,46996,43604,41442,55766,47464,43182,40920,54459,46531,43193,41317,55187,46975,42948,40930,53649,46170,43045,41369,54580,46673,9516,1856479,15737,1856479,2036,1856479,0,1547066,0,1547066,0,1547066,0,1547066,1076,1547066,2388,353,327,359,138,58,4,4,14,
00:09:16 12/17/25,44625,44000,57125,49445,42982,41404,54615,47093,43300,42015,56909,48283,42352,41122,54731,46864,42534,41442,55766,47319,42231,40920,54459,46405,42419,41317,55187,46841,42251,40930,53649,46054,42418,41369,54580,46547,4540,1856479,1394,1856479,614,1547066,1394,1547066,2174,1547066,2118,1547066,2118,1480492,1059,1480492,931,505,409,4,4,4,4,4,17,
00:09:26 12/17/25,44500,44000,57125,49297,43521,41404,54615,46969,43880,42015,56909,48132,43315,41122,54731,46735,42831,41442,55766,47178,42539,40920,54459,46281,42614,41317,55187,46708,42431,40930,53649,45940,42546,41369,54580,46424,29489,1856479,24005,1856479,9955,1547066,4466,1547066,536,1547066,536,1547066,536,1547066,268,1547066,3513,429,406,340,4,4,4,4,16,
00:09:36 12/17/25,46250,44000,57125,49211,44304,41404,54615,46899,44966,42015,56909,48054,43997,41122,54731,46661,43843,41442,55766,47083,43709,40920,54459,46203,43582,41317,55187,46613,43561,40930,53649,45865,43547,41369,54580,46334,4491,1856479,9100,1547066,651,1547066,0,1547066,0,1547066,0,1547066,0,1547066,3398,1547066,4652,357,479,125,4,4,4,4,45,
00:09:46 12/17/25,46500,44000,57125,49137,44620,41404,54615,46833,45696,42015,56909,47978,43706,41122,54731,46590,43972,41442,55766,46997,43368,40920,54459,46132,43617,41317,55187,46530,43314,40930,53649,45799,43531,41369,54580,46257,19745,1547066,18976,1856479,9747,1547066,2056,1547066,2056,1547066,2056,1547066,2056,1547066,518,1547066,4715,448,541,52,4,4,4,4,13,
