[WIN] 2025-12-18 16:27:56 | CPU: 1.76% | Temp: N/A | GPU: 0.00% | Mem: 65.87% | Disk: 95.64%
[WIN] 2025-12-18 16:28:01 | CPU: 1.19% | Temp: N/A | GPU: 0.00% | Mem: 65.84% | Disk: 95.64%
[WIN] 2025-12-18 16:28:05 | CPU: -0.00% | Temp: N/A | GPU: 0.00% | Mem: 65.79% | Disk: 95.64%
[WIN] 2025-12-18 16:28:10 | CPU: 2.38% | Temp: N/A | GPU: 0.00% | Mem: 66.42% | Disk: 95.64%
[WIN] 2025-12-18 16:28:14 | CPU: 1.18% | Temp: N/A | GPU: 0.00% | Mem: 65.99% | Disk: 95.64%
[WIN] 2025-12-18 16:28:18 | CPU: 0.60% | Temp: N/A | GPU: 0.00% | Mem: 66.14% | Disk: 95.64%
[WIN] 2025-12-18 16:28:23 | CPU: 2.38% | Temp: N/A | GPU: 0.00% | Mem: 66.08% | Disk: 95.64%
[WIN] 2025-12-18 16:28:27 | CPU: 1.18% | Temp: N/A | GPU: 0.00% | Mem: 66.12% | Disk: 95.64%
[WIN] 2025-12-18 16:28:31 | CPU: 0.59% | Temp: N/A | GPU: 0.00% | Mem: 66.05% | Disk: 95.64%
[WIN] 2025-12-18 16:28:36 | CPU: -0.00% | Temp: N/A | GPU: 0.00% | Mem: 66.05% | Disk: 95.64%
[WIN] 2025-12-18 16:28:40 | CPU: 1.18% | Temp: N/A | GPU: 0.00% | Mem: 66.51% | Disk: 95.64%
[WIN] 2025-12-18 16:28:45 | CPU: 10.59% | Temp: N/A | GPU: 0.00% | Mem: 66.49% | Disk: 95.64%
[WIN] 2025-12-18 16:28:49 | CPU: 0.59% | Temp: N/A | GPU: 0.00% | Mem: 66.93% | Disk: 95.64%
[WIN] 2025-12-18 16:28:53 | CPU: 0.60% | Temp: N/A | GPU: 0.00% | Mem: 66.41% | Disk: 95.64%
